Etiquette,Presentation (FR)
NEG.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"marque de négation + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
NEG.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.NEG,"marque de négation + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + marque de négation"
NEG.NOUN,marque de négation + nom
NEG.NOUN.IVSUFF_SUBJ,marque de négation + nom + suffixe sujet du verbe à l'inaccompli
NEG.NOUN.IVSUFF_SUBJ.IVSUFF_DO:1S.NEG,marque de négation + nom + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.) + marque de négation
NEG.NOUN.IVSUFF_SUBJ.NEG,marque de négation + nom + suffixe sujet du verbe à l'inaccompli + marque de négation
NEG.NOUN.NSUFF_FEM_SG,marque de négation + nom + suffixe nominal féminin singulier
NEG.NOUN.NSUFF_FEM_SG.NEG,marque de négation + nom + suffixe nominal féminin singulier + marque de négation
NEG.NOUN.NSUFF_MASC_PL.NEG,marque de négation + nom + suffixe nominal masculin pluriel + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:1P,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. pl.)
NEG.PERFECT_VERB.PVSUFF_SUBJ:1P.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. pl.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:1P.PVSUFF_DO:3FS,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. pl.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. fém. sg.)
NEG.PERFECT_VERB.PVSUFF_SUBJ:1S,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.)
NEG.PERFECT_VERB.PVSUFF_SUBJ:1S.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:1S.PVSUFF_DO:2FS.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (2e pers. fém. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:1S.PVSUFF_DO:2S,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (2e pers. sg.)
NEG.PERFECT_VERB.PVSUFF_SUBJ:1S.PVSUFF_DO:2S.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (2e pers. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:1S.PVSUFF_DO:3FS.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. fém. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:1S.PVSUFF_DO:3MP.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. pl.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:1S.PVSUFF_DO:3MS,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.)
NEG.PERFECT_VERB.PVSUFF_SUBJ:1S.PVSUFF_DO:3MS.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:1S.Prep.PRON_3MF,"marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.) + préposition [variante de casse] + pronom personnel, 3e pers. masc./fém. sg."
NEG.PERFECT_VERB.PVSUFF_SUBJ:2FS.PVSUFF_DO:3FS,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. fém. sg.)
NEG.PERFECT_VERB.PVSUFF_SUBJ:2P.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (2e pers. pl.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:2S,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (2e pers. sg.)
NEG.PERFECT_VERB.PVSUFF_SUBJ:2S.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (2e pers. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:2S.PVSUFF_DO:1S.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (2e pers. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:2S.PVSUFF_DO:3FS.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (2e pers. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. fém. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:2S.PVSUFF_DO:3MS.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (2e pers. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:2SF.PVSUFF_DO:1S.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:3F,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.)
NEG.PERFECT_VERB.PVSUFF_SUBJ:3F.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:3F.PVSUFF_DO:1S,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.)
NEG.PERFECT_VERB.PVSUFF_SUBJ:3F.PVSUFF_DO:1S.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:3F.PVSUFF_DO:3FS.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. fém. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:3F.PVSUFF_DO:3MP.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. pl.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:3F.PVSUFF_DO:3MS.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:3F.Prep.PRON_3MF.NEG,"marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + préposition [variante de casse] + pronom personnel, 3e pers. masc./fém. sg. + marque de négation"
NEG.PERFECT_VERB.PVSUFF_SUBJ:3MS,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.)
NEG.PERFECT_VERB.PVSUFF_SUBJ:3MS.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:1S,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.)
NEG.PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:1S.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:2MS.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (2e pers. masc. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:2S.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (2e pers. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:3FS.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. fém. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:3MS.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:3P,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.)
NEG.PERFECT_VERB.PVSUFF_SUBJ:3P.PVSUFF_DO:1P,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. pl.)
NEG.PERFECT_VERB.PVSUFF_SUBJ:P.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:P.PVSUFF_DO:1S.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:P.PVSUFF_DO:3FS.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. fém. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:P.PVSUFF_DO:3MS.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.) + marque de négation
NEG.PERFECT_VERB.PVSUFF_SUBJ:P.PVSUFF_DO:3MS.NEG.NEG,marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.) + marque de négation + marque de négation
NEG.PREP.NOUN.POSS_PRON_1S.NEG,"marque de négation + préposition + nom + pronom possessif, 1re pers. sg. + marque de négation"
NEG.PREP.PRON_1P,"marque de négation + préposition + pronom personnel, 1re pers. pl."
NEG.PREP.PRON_1S,"marque de négation + préposition + pronom personnel, 1re pers. sg."
NEG.PREP.PRON_1S.NEG,"marque de négation + préposition + pronom personnel, 1re pers. sg. + marque de négation"
NEG.PREP.PRON_2S,"marque de négation + préposition + pronom personnel, 2e pers. sg."
NEG.PREP.PRON_2S.NEG,"marque de négation + préposition + pronom personnel, 2e pers. sg. + marque de négation"
NEG.PREP.PRON_3FS,"marque de négation + préposition + pronom personnel, 3e pers. fém. sg."
NEG.PREP.PRON_3FS.NEG,"marque de négation + préposition + pronom personnel, 3e pers. fém. sg. + marque de négation"
NEG.PREP.PRON_3MP,"marque de négation + préposition + pronom personnel, 3e pers. masc. pl."
NEG.PREP.PRON_3MP.NEG,"marque de négation + préposition + pronom personnel, 3e pers. masc. pl. + marque de négation"
NEG.PREP.PRON_3MS,"marque de négation + préposition + pronom personnel, 3e pers. masc. sg."
NEG.PREP.PRON_3MS.NEG,"marque de négation + préposition + pronom personnel, 3e pers. masc. sg. + marque de négation"
NEG.PRG_PART.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + marque de négation"
NEG.PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
NEG.PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2MS.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. masc. sg.) + marque de négation"
NEG.PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
NEG.PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MP,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. pl.)"
NEG.PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MP.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. pl.) + marque de négation"
NEG.PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)"
NEG.PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.) + marque de négation"
NEG.PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
NEG.PRG_PART.IV2FS.IMPERFECT_VERB.IVSUFF_SUBJ:2FS.IVSUFF_DO:1S.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 2e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.) + marque de négation"
NEG.PRG_PART.IV2FS.IMPERFECT_VERB.IVSUFF_SUBJ:2FS.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 2e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.) + marque de négation"
NEG.PRG_PART.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
NEG.PRG_PART.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ:2FS.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.) + marque de négation"
NEG.PRG_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
NEG.PRG_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.) + marque de négation"
NEG.PRG_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.) + marque de négation"
NEG.PRG_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.) + marque de négation"
NEG.PRG_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
NEG.PRG_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
NEG.PRG_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.) + marque de négation"
NEG.PRG_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
NEG.PRG_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS.NEG,"marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.) + marque de négation"
